trans_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
343546,2020-11-01 00:00:00,30197400000000.0,fraud_Miller-Harris,misc_net,3.64,April,Johnson,Female,9727 Deleon Mountain,Creedmoor,NC,27522,36.1124,-78.6476,12335,Chief Strategy Officer,19/09/1987,195b16100a1c7329bcebb2e4ed53b8d8,1383264015,36.423307,-78.464419
343547,2020-11-01 00:00:00,30343300000000.0,fraud_Herzog Ltd,misc_pos,2.67,Jacob,Dawson,Male,663 Anna Plaza,Marienville,PA,16239,41.4622,-79.1306,4172,"Copywriter, advertising",20/03/1962,d52ab6caa7f4dba422c97a86469c3305,1383264024,42.423112,-78.567289
343548,2020-11-01 00:01:00,36078100000000.0,"fraud_Mosciski, Gislason and Mertz",grocery_pos,126.48,Christopher,Horn,Male,956 Sanchez Highway,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,26/06/1926,570956cda7f2e30c90e49df6f642341c,1383264109,37.051797,-82.254534
343549,2020-11-01 00:02:00,377114000000000.0,fraud_Jacobi and Sons,shopping_pos,1.91,Billy,Gallagher,Male,673 Delgado Burg,Greenwich,NJ,8323,39.4055,-75.3209,804,Insurance risk surveyor,25/03/1965,f59fe8a5e75fe4061b0477e0609f39fd,1383264163,39.704971,-74.747182
343550,2020-11-01 00:05:00,373905000000000.0,fraud_Wuckert-Walter,grocery_net,77.72,Sarah,Bishop,Female,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,12/11/1970,d39bcf81b0447785063232991264d22c,1383264334,32.344719,-97.847382
343551,2020-11-01 00:06:00,4229730000000000.0,"fraud_Rohan, White and Aufderhar",misc_net,5.51,Tyler,Mills,Male,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,03/05/1990,5a549b3131ecbc26e8a7cad483863e0d,1383264372,37.431983,-85.359396
343552,2020-11-01 00:06:00,4.39097e+18,"fraud_Schultz, Simonis and Little",grocery_pos,84.24,Kyle,Simmons,Male,8149 Harris Divide,Oklahoma City,OK,73134,35.6174,-97.5583,640470,Advertising copywriter,24/06/1966,f31b7d8df9552a7fe64be1f20a94b5fb,1383264374,35.115336,-98.331214
343553,2020-11-01 00:06:00,213125000000000.0,fraud_Sporer Inc,gas_transport,60.24,Steven,Arnold,Male,079 Chelsea Rest,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,04/06/1962,9dc9a586738fbb9d5ca9a6d6b32e2602,1383264381,42.518665,-78.867552
343554,2020-11-01 00:06:00,4681700000000.0,fraud_Huels-Hahn,gas_transport,75.62,Joseph,Gonzalez,Male,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",06/03/1978,b5ed579fadc922753172011075ffc1cc,1383264417,36.444557,-86.281119
343555,2020-11-01 00:08:00,4026220000000.0,fraud_Kris-Weimann,misc_net,736.63,Debbie,Payne,Female,204 Ashley Neck Apt. 169,Preston,CT,6365,41.5224,-71.9934,4720,Broadcast presenter,18/05/1977,a69db557e6c63132d37fcb4b2e862e91,1383264493,40.657033,-71.755767
343556,2020-11-01 00:08:00,4302480000000000.0,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,48.55,David,Rodriguez,Male,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,25/05/1995,58e706403da13e34e151608b167f8c66,1383264535,42.465535,-85.987168
343557,2020-11-01 00:09:00,36078100000000.0,fraud_Brekke and Sons,gas_transport,95.36,Christopher,Horn,Male,956 Sanchez Highway,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,26/06/1926,bdaf977204d13fb8b2ef18893e0ede18,1383264576,37.854337,-83.077585
343558,2020-11-01 00:09:00,3586010000000000.0,fraud_Kiehn Inc,grocery_pos,187.35,Crystal,Fuller,Female,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,29/02/1984,25fdc9ff8b3044ed942d8925a44a7f23,1383264577,46.690244,-121.067344
343559,2020-11-01 00:10:00,4657270000000000.0,fraud_Bruen-Yost,misc_pos,47.71,Alicia,Mitchell,Female,125 Kristen Dale,Grand Ridge,FL,32442,30.7148,-85.021,3699,Art gallery manager,07/09/1948,35708ca271609125ddad561b02ceca65,1383264647,29.749408,-85.202776
343560,2020-11-01 00:11:00,3519610000000000.0,"fraud_Parisian, Schiller and Altenwerth",misc_net,2.37,Audrey,Gonzalez,Female,34180 Lopez Plaza,Fields Landing,CA,95537,40.7268,-124.2174,276,"Scientist, audiological",06/05/1929,cd47894c611bdb4599a1217ee41be912,1383264697,40.316121,-124.110146
343561,2020-11-01 00:12:00,4561890000000.0,fraud_Will Ltd,food_dining,135.87,Jacqueline,Allen,Female,166 Lisa Fords,Greenwood,IN,46143,39.596,-86.1309,78968,Financial adviser,10/02/1968,8b420969963398e23b47104e0aaa2b49,1383264722,39.350557,-86.629432
343562,2020-11-01 00:12:00,4900630000000.0,fraud_Wiegand-Lowe,grocery_net,71.23,Michael,Johnson,Male,094 Owens Underpass,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,22/09/1973,a0d7b6e2febc6d1dfb355efb54e1ae93,1383264730,33.516648,-118.014889
343563,2020-11-01 00:13:00,3560800000000000.0,fraud_Kuhic Inc,grocery_pos,85.92,Janet,Turner,Female,0925 Lang Extensions,Shields,ND,58569,46.1838,-101.2589,77,Film/video editor,17/12/1989,30370c338f05ab8eafc5f343d3f4804f,1383264785,46.602502,-100.664905
343564,2020-11-01 00:13:00,3513620000000000.0,"fraud_Schaefer, McGlynn and Bosco",gas_transport,57.9,Amber,Perez,Female,954 Reyes Ways,Fulton,SD,57340,43.7588,-97.8712,355,Financial adviser,26/06/1955,5e982da08f35c24570e53d2e7828ce91,1383264798,44.552281,-98.529026
343565,2020-11-01 00:13:00,375849000000000.0,"fraud_Gottlieb, Considine and Schultz",shopping_net,1.4,Dale,Smith,Male,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,15/12/1943,712a22f3646123412dd94348731a267a,1383264827,32.332936,-97.817092
343566,2020-11-01 00:14:00,4087540000000000.0,fraud_Stracke-Lemke,grocery_pos,317.58,Nicole,Dominguez,Female,537 Brian Island,Guthrie,OK,73044,35.833,-97.436,20226,Retail manager,08/11/1969,c8c156cc4df0612a751c45263164a78f,1383264851,35.962964,-97.318437
343567,2020-11-01 00:16:00,4952580000000000.0,fraud_Erdman-Kertzmann,gas_transport,56.23,Patricia,Rodriguez,Female,386 Randolph Throughway,Warren,OH,44483,41.2639,-80.8164,75903,Magazine features editor,05/04/1957,bfa0c865d8826c68a32f38b3e5ad0725,1383264976,41.899393,-80.574833
343568,2020-11-01 00:16:00,4464460000000.0,"fraud_Greenfelder, Bartoletti and Davis",misc_net,372.18,Breanna,Rodriguez,Female,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,24/01/1990,bf26f6c4c13bad5a421535f8482132db,1383264977,29.010544,-84.548541
343569,2020-11-01 00:19:00,38797400000000.0,fraud_Bins-Rice,gas_transport,67.51,Andrew,Tucker,Male,583 Gray Creek,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,12/12/1971,b843cab0dc1ea232554f68b438876cd1,1383265162,41.569132,-73.577473
343570,2020-11-01 00:20:00,4471570000000.0,fraud_Powlowski-Weimann,food_dining,70.22,Dakota,Maldonado,Male,369 Cochran Radial,Pelham,NC,27311,36.4899,-79.4736,3402,Insurance underwriter,24/10/1927,1f3cfdd916d1f74dbfbc7311e57dab5e,1383265204,37.097004,-78.901402
343571,2020-11-01 00:20:00,4195740000000.0,fraud_Gleason-Macejkovic,shopping_net,83.53,Benjamin,Robinson,Male,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",04/04/1963,f2afe52f2ba08f5a6b350ee33dc526c6,1383265218,45.106164,-122.12145
